id,Brand,Description,Rating,Price
266,EXTRA LOVE BY LIBAS,Women Plus Size Yellow Printed Kurta with Skirt & With Dupatta,4.6,Rs. 3799
267,Jaipur Kurti,Women Pink & Grey Dobby Weave Kurta with Palazzos & Dupatta,4.2,Rs. 1559
268,Biba,Women Cream-Coloured & Green Printed A-Line Kurta with Ethnic Layer,3.3,Rs. 699
269,Libas,Women Grey Floral Printed Gotta Patti Floral Anarkali Kurta,5.0,Rs. 1999
270,Sangria,Women Off-White & Mustard Yellow Printed Straight Kurta,3.9,Rs. 389
271,Sangria,Women Navy Blue & Yellow Ethnic Motifs Printed Pure Cotton Kurta,3.9,Rs. 679
272,Sangria,Women Black & White Printed Straight Kurta,4.1,Rs. 549
273,Sangria,Women Black & White Printed Straight Kurta,4.1,Rs. 549
274,Biba,Women Turquoise Blue Motifs Printed Panelled Cotton Kurta with Churidar & Dupatta,4.4,Rs. 3246
275,AHIKA,Women Mustard Yellow & Green Floral Print A-Line Kurta,4.2,Rs. 553
276,Vishudh,Women Brown Solid Straight Kurta,4.1,Rs. 659
277,INDYA,Women Maroon Solid A-Line Kurta,4.2,Rs. 782
278,Biba,Women Fuchsia Ethnic Motifs Printed Regular Kurta with Palazzos & With Dupatta,4.0,Rs. 2474
279,Anouk,Women Red Printed Top with Palazzos,4.0,Rs. 649
280,Nayo,Women Mustard Yellow Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,3.9,Rs. 1189
281,Soch,Women Yellow Solid Kurta,4.5,Rs. 898
282,Anouk,Women Green Floral Printed Floral Anarkali Kurta,4.3,Rs. 1259
283,Inddus,Women Red & Gold-Toned Woven Design Sequinned Kurta with Trousers & Dupatta,4.3,Rs. 1799
284,Biba,Women Teal Printed Regular Kurta with Palazzos & With Dupatta,4.3,Rs. 2999
285,Indo Era,Olive Green & Mustard Yellow Embroidered Sequin Straight Kurta Trousers & Dupatta,3.8,Rs. 2311
286,Biba,Women Green & Beige Motifs Print Cotton Kurta with Trousers & Dupatta,4.2,Rs. 3446
287,Varanga,Women Pink & Gold-Toned Ethnic Motifs Printed Anarkali Kurta,3.8,Rs. 755
288,Vishudh,Women Teal Yoke Design Straight Kurta,4.2,Rs. 679
289,AHIKA,Women Green & Beige Printed Straight Kurta,3.9,Rs. 539
290,AURELIA,Women Blue & Off White Striped Kurta,4.5,Rs. 479
291,Anouk,Women Green Ethnic Motifs Printed Pure Cotton Kurta with Trousers,3.7,Rs. 799
292,Biba,Women Blue & Rust Orange Ethnic Print Pure Cotton Kurta with Palazzos & Dupatta,4.4,Rs. 2999
293,Libas,Women Maroon Floral Printed Cotton Kurta,4.3,Rs. 1299
294,EXTRA LOVE BY LIBAS,Women Plus Size Pink Printed Cotton Kurta with Salwar & With Dupatta,4.0,Rs. 3999
295,Vishudh,Women Off White & Pink Ethnic Motifs Printed Kurta With Palazzos,2.0,Rs. 682
