,filename,link
92,1081.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12290006/2020/9/2/21a738cb-c53a-47b1-9887-2a751025e54f1599030713159-Anubhutee-Women-Kurta-Sets-7401599030711850-1.jpg"
93,1082.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14036794/2021/4/20/96aaea2c-cb42-40d9-90bc-5695dd0253f61618914725020YurisBlackandmaroonprintedstraightkurtawithtrousersdupatta1.jpg"
94,1083.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13237586/2021/6/5/3486cf70-67d2-411c-841d-393f7f2405421622889466639-Anouk-Women-Kurta-Sets-8651622889466065-4.jpg"
95,1084.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14778284/2021/7/19/45966249-dee7-4071-94e4-9284fbe757b31626675726460-Inddus-Women-Wine-Embroidered-Kurta-with-Sharara-and-Dupatta-1.jpg"
96,1085.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14025916/2021/6/16/71e61247-d9d9-4c7f-9db7-a332eb84541f1623827034043-Varanga-Blue-And-White-Striped-Straight--Kurta-With-V-Shape--1.jpg"
97,1086.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3077373/2018/3/14/11521007097550-HERENOW-Women-White-Solid-Straight-Kurta-4821521007097492-1.jpg"
98,1087.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10189567/2019/7/16/48531aac-508e-4059-b328-ad77506086b01563264979685-AHIKA-Women-Grey--Pink-Printed-Straight-Kurta-52415632649780-1.jpg"
99,1088.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16926898/2022/1/25/ff9c86b4-a513-47c6-9dca-709f540334d51643097553109FASHIONDEPTHWomenWhiteGeometricEmbroideredThreadWorkKurta1.jpg"
100,1089.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9861565/2019/6/10/4f8d0e1c-fe50-4e95-b20b-11b8b6bbb6a01560171983680-Vaamsi-Women-Kurtas-1701560171981869-1.jpg"
101,109.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13498312/2021/1/28/c961e6a4-6050-4539-ba2d-bc53e73e4a711611823572670-HERENOW-Women-Lavender-Solid-A-Line-Kurta-1601611823570850-1.jpg"
102,1090.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14326330/2021/9/26/87d34274-18ca-42fb-bd53-2124cc5c61c71632631438072-Anouk-Women-Kurtas-4201632631437631-5.jpg"
